,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,210,210,es_3O7L7BFSHG2VV5XGJD4CHTAM509EIU,"什么是使用的容器类型,酸奶的数量和蒸水的数量。",1,3
1,208,208,es_3NVC2EB65SCEB7WOYB9JKQ0DCXX3YS,"每个样品中放置的酸奶的数量、酸奶放置的容器类型以及样品的测量,这些数据将是必要的,以便复制此过程。",1,3
2,115,115,es_3DBQWDE4Y8BNDNFE5SO1I70QG345NW,"未包含的信息是每个样本的时间,24小时,等于30分钟,最近差异。",1,0
3,171,171,es_3JNQLM5FT6Z5QQT6BW6O78TPPXGL28,水,1,0
4,238,238,es_3QRYMNZ7F0UPYPQ46O6ZLN643LSTNE,不知,1,0
5,289,289,es_3WYP994K194D8QJ6HD7HRTCXMBOY6S,"蒸汽冷却与使用蒸汽压缩或吸收冷却循环的典型空调系统不同。 蒸汽冷却的运作原理是基于使用大水蒸发热量,取决于它的表面。",1,0
6,69,69,es_382M9COHEJS04WSGDUTQ0WYXZVRUED,"我做了程序,并在一方面成功地使蒸水,但也能够使酸水,可以用作杀害昆虫的制冷剂和电池酸",1,0
7,3,3,es_3137ONMDKIIHZERLTP49WHX6SNOEGB,马尔默,1,0
8,146,146,es_3G5W44VEU9VKLEJVPBFCUCABE9UKGR,"根據這一表格,最終餐桌的不同高值是塑料。 其值为 0,其最小值为 0.01 。 因此,这张桌子的结论是塑料,这是全世界的恶意。 塑料是非常糟糕的材料。",1,0
9,205,205,es_3NOKK93PR3LJF0VUNUELWECUES2EES,你会用更多的塑料和钙来做另一个实验。,1,0
10,173,173,es_3KGTPGBS6ZY89GG0KAYPYVP83C62UT,卡利萨,1,0
11,174,174,es_3KJYX6QCMBO8SR38WLEMTYD8IIXJVT,缺乏关于醋的量信息来分析它对所选材料的反应。,1,1
12,122,122,es_3DY4FPOOA31PQFML4QNVVPZZUFPVRT,每个罐子里放多少叶酸,1,1
13,262,262,es_3TVSS0C0E3DFLJZIYPXMH6JVOKDWTR,"首先将包括一个没有醋样本的检查,看看样本是否很快失去质量而不暴露于醋。 第二次进行实验,但一旦很快,并不总是会影响精确的质量损失,第三次是使用的酸奶的数量。 也不用使用蒸水,也许水会影响样品。",1,1
14,116,116,es_3DBQWDE4Y8BNDNFE5SO1I70QLDT5NA,初始密度 (Initial density) n 最终密度 (Final density) n 初始体积 (Initial volume) n 最终体积 (Final volume),1,1
15,139,139,es_3FE2ERCCZZL9OIX9QMXSV25CYCKOPP,"添加到每个样品的酸奶量,重量容器,放置样品的温度。",1,2
16,277,277,es_3VFJCI1K41C68IWQFVO9VOWPCBORGE,初始重量是多少?原始重量是多少?原始重量是多少?原始重量是多少?原始重量是多少?,1,2
17,120,120,es_3DL65MZB8FS4I2BGR38Q6QCRRTECEA,"需要每个样品的尺寸,不是所有的材料都是相同的,虽然重量相似。  我还需要白天的时间,在那里样品被放置了酸奶,我认为如果是晚上或白天,测量之间会有差异,因为它们可能会受到温度的影响。 同样,你也应该知道实验发生的季节,风暴差异可以在实验期间做出重大变化。",1,2
18,298,298,es_3XUHV3NRVMBV3RT32UTODN3UR8CH5B,"我需要使用的酸奶的数量。 此外,您还需要知道24小时内容器的温度。 最终,在实验前和实验后都需要样本量。",1,2
