id	prompt	score
en_cw_000331	2	0
en_cw_000332	2	0
en_cw_000333	2	3
en_cw_000334	2	0
en_cw_000335	2	2
en_cw_000336	2	1
en_cw_000337	2	0
en_cw_000338	2	2
en_cw_000339	2	0
en_cw_000340	2	0
en_cw_000341	2	2
en_cw_000342	2	2
en_cw_000343	2	2
en_cw_000344	2	0
en_cw_000345	2	0
en_cw_000346	2	0
en_cw_000347	2	2
en_cw_000348	2	0
en_cw_000349	2	0
en_cw_000350	2	0
en_cw_000351	2	1
en_cw_000352	2	0
en_cw_000353	2	0
en_cw_000355	2	1
en_cw_000356	2	1
en_cw_000358	2	2
en_cw_000360	2	1
en_cw_000361	2	0
en_cw_000362	2	1
en_cw_000364	2	1
en_cw_000366	2	0
en_cw_000368	2	1
en_cw_000369	2	0
en_cw_000370	2	0
en_cw_000371	2	0
en_cw_000372	2	1
en_cw_000373	2	3
en_cw_000374	2	1
en_cw_000375	2	1
en_cw_000377	2	0
en_cw_000378	2	0
en_cw_000379	2	0
en_cw_000380	2	0
en_cw_000381	2	1
en_cw_000382	2	1
en_cw_000383	2	0
en_cw_000384	2	0
en_cw_000385	2	0
en_cw_000386	2	0
en_cw_000390	2	2
en_cw_000391	2	0
en_cw_000392	2	1
en_cw_000393	2	1
en_cw_000394	2	0
en_cw_000395	2	0
en_cw_000396	2	0
en_cw_000397	2	3
en_cw_000399	2	0
en_cw_000400	2	3
en_cw_000401	2	0
en_cw_000402	2	1
en_cw_000403	2	1
en_cw_000404	2	0
en_cw_000405	2	1
en_cw_000406	2	1
en_cw_000407	2	0
en_cw_000408	2	0
en_cw_000409	2	0
en_cw_000410	2	2
en_cw_000411	2	1
en_cw_000412	2	0
en_cw_000413	2	1
en_cw_000414	2	0
en_cw_000415	2	1
en_cw_000416	2	0
en_cw_000417	2	0
en_cw_000418	2	0
en_cw_000419	2	1
en_cw_000420	2	0
en_cw_000421	2	0
en_cw_000422	2	0
en_cw_000423	2	0
en_cw_000424	2	0
en_cw_000425	2	1
en_cw_000426	2	0
en_cw_000427	2	2
en_cw_000428	2	0
en_cw_000429	2	2
en_cw_000430	2	0
en_cw_000431	2	0
en_cw_000432	2	3
en_cw_000433	2	0
en_cw_000434	2	0
en_cw_000436	2	3
en_cw_000437	2	2
en_cw_000438	2	0
en_cw_000439	2	0
en_cw_000440	2	0
en_cw_000441	2	0
en_cw_000442	2	2
en_cw_000443	2	0
en_cw_000444	2	2
en_cw_000445	2	0
en_cw_000447	2	2
en_cw_000448	2	0
en_cw_000449	2	0
en_cw_000450	2	0
en_cw_000451	2	0
en_cw_000452	2	1
en_cw_000453	2	0
en_cw_000454	2	0
en_cw_000455	2	1
en_cw_000456	2	0
en_cw_000457	2	2
en_cw_000458	2	3
en_cw_000459	2	0
en_cw_000460	2	2
en_cw_000461	2	2
en_cw_000462	2	0
en_cw_000463	2	1
en_cw_000464	2	0
en_cw_000465	2	0
en_cw_000466	2	1
en_cw_000468	2	1
en_cw_000469	2	0
en_cw_000470	2	0
en_cw_000471	2	0
en_cw_000472	2	0
en_cw_000475	2	2
en_cw_000476	2	3
en_cw_000477	2	1
en_cw_000478	2	0
en_cw_000479	2	0
en_cw_000480	2	2
en_cw_000481	2	0
en_cw_000482	2	1
en_cw_000483	2	0
en_cw_000484	2	0
en_cw_000485	2	0
en_cw_000486	2	1
en_cw_000487	2	0
en_cw_000488	2	1
en_cw_000489	2	0
en_cw_000490	2	1
en_cw_000491	2	0
en_cw_000493	2	1
en_cw_000494	2	0
en_cw_000495	2	1
en_cw_000496	2	0
en_cw_000497	2	0
en_cw_000498	2	3
en_cw_000499	2	0
en_cw_000500	2	0
en_cw_000501	2	1
en_cw_000502	2	0
en_cw_000503	2	2
en_cw_000504	2	1
en_cw_000505	2	0
en_cw_000506	2	0
en_cw_000507	2	0
en_cw_000508	2	0
en_cw_000509	2	0
en_cw_000510	2	2
en_cw_000512	2	0
en_cw_000513	2	1
en_cw_000514	2	1
en_cw_000515	2	0
en_cw_000516	2	0
en_cw_000517	2	0
en_cw_000518	2	0
en_cw_000519	2	1
en_cw_000520	2	0
en_cw_000521	2	3
en_cw_000522	2	0
en_cw_000523	2	1
en_cw_000524	2	2
en_cw_000525	2	0
en_cw_000527	2	0
en_cw_000528	2	1
en_cw_000529	2	2
en_cw_000530	2	0
en_cw_000531	2	0
en_cw_000532	2	0
en_cw_000533	2	0
en_cw_000534	2	1
en_cw_000535	2	0
en_cw_000537	2	0
en_cw_000538	2	0
en_cw_000539	2	1
en_cw_000540	2	1
en_cw_000541	2	0
en_cw_000542	2	0
en_cw_000543	2	0
en_cw_000544	2	2
en_cw_000545	2	1
en_cw_000546	2	1
en_cw_000547	2	0
en_cw_000548	2	1
en_cw_000550	2	1
en_cw_000551	2	1
en_cw_000553	2	1
en_cw_000554	2	1
en_cw_000555	2	0
en_cw_000556	2	1
en_cw_000557	2	2
en_cw_000558	2	1
en_cw_000559	2	0
en_cw_000560	2	0
en_cw_000561	2	1
en_cw_000562	2	0
en_cw_000564	2	1
en_cw_000565	2	0
en_cw_000566	2	0
