,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,273,273,fr_010274,有多少葡萄酒? 是玻璃还是塑料? 干燥和休息在哪里? 太阳? 影子?,1,3
1,91,91,fr_010092,"需要知道的浓度,容器的大小和衡量的准确性",1,3
2,240,240,fr_010241,"将材料的样本放入一个容器并标记。 对剩余样本重复操作,将单个样本放入一个容器中。",1,0
3,28,28,fr_010029,"确定四个不同的样本的质量,将材料的样本放入一个容器并标记它。 重复操作与剩余的样品,将一个样品放在一个容器,确定每个样品的质量。",1,0
4,98,98,fr_010099,测量和注入相同数量的样本。 使用液压来观察固体的结构。 看看它们是坚固的还是晶体的。,1,0
5,56,56,fr_010057,"提供的信息是关于开始,结束和体重变化的数据",1,0
6,99,99,fr_010100,"用字母A、B、C、D、E标记样品,30分钟休息后,计算每个容器的质量。 计算将通过信息每个容器的质量x强度进行。",1,0
7,36,36,fr_010037,"第一 使用适当精度的重量是重要的,以衡量所分析的材料。 二。 按手册等待24小时,因为正确的时间对于体验的顺利进行至关重要。 三个 在干燥后重量材料时,请注意不要注意质量差异。",1,0
8,18,18,fr_010019,第一 将所期望的结果与所取得的结果进行比较。 分析实验错误。  三个 用理论问题来解释你的结果。,1,0
9,213,213,fr_010214,每个样品都有大量示例。 岩石有最大的质量差异。 木材的质量差异为0。,1,0
10,215,215,fr_010216,"良好的信息,准确的图像和易于理解",1,0
11,161,161,fr_010162,"第一 应该有将用于实验的设备列表。 二。 要使用的健康和安全设备,如戴眼镜、面具、面板等。 三个 每个容器中放置的材料样本的名称。",1,1
12,266,266,fr_010267,"房间的温度,使用的容器的大小。 每件材料的重量。",1,1
13,229,229,fr_010230,"将干燥材料分为不同的类别,根据其特性,如结构,形状和固化。",1,1
14,111,111,fr_010112,1 葡萄酒多少?,1,1
15,12,12,fr_010013,"我需要知道他们在每个罐子里注入了多少醋,以及这是什么样的特定材料。 例如,他们使用的是什么样的塑料。",1,2
16,196,196,fr_010197,使用的是什么类型的集装箱? 使用了多少个材料? 我想我现在可以重复这个经验。,1,2
17,165,165,fr_010166,"容器应该用什么材料,如何测量质量,我可以使用什么材料?",1,2
18,22,22,fr_010023,"为了重复实验,您需要额外的信息,例如在每个容器中注入的酸奶数量。 此外,您还需要知道容器的大小。",1,2
