,Unnamed: 0,ItemId,PromptId,Score1,AnswerText
0,2104,9_25056,9,0,"ავტორი ორგანიზებს სტატიას, რომ გითხრათ, რა იყო სადგური შუა და როგორ ხდება."
1,1950,9_24902,9,0,He Goes In Order by What Happens With Space Junk
2,1418,9_24370,9,0,ავტორი არქიტექტურა სტატიის დაიწყება საინტერესო დაწყება და slowly წავიდა ძირითადი მიზნით. ეს არის დიდი ავტორი.
3,1325,9_24277,9,0,"ბიბლიოთეკა განიხილავს სფეროში და რამ, რაც გავაკეთებს. მას შემდეგ, რაც ჩვენ გთავაზობთ ისტორიას სფეროში ექსპერიმენტი და რისკები არსებობს სფეროში. ავტორი ამბობს, რომ ყველა სადგური სატვირთო განსაკუთრებით, რომელიც შეიძლება იყოს ძალიან რთული. ყველა მონაცემები იწვევს ფაქტი, რომ არსებობს ბევრი სატვირთო სქემა, რომელიც ეხება გარემოში, რომ რისკია და რომ მტვრები შეიძლება შეხვდეს, რადგან ეს უკვე მოხდა."
4,2369,9_25321,9,0,გამოქვეყნებული სტატიის გამოქვეყნება მინიმუმ პრობლემა მინიმუმ პრობლემა.
5,2091,9_25043,9,0,ავტორი იწყება საინტერესო მასალები მნიშვნელოვანი ფაქტები და შედეგები.
6,1398,9_24350,9,0,"მას აწარმოებს სტატიას ყველაზე რთული გადაწყვეტილებები ან რა ჩვენ მუშაობთ, რომ იყოს ჩვენი გადაწყვეტილებები."
7,582,9_23534,9,0,"მე ვფიქრობ, რომ ის დააყენა მათ პირველი აღმოჩენა და შემდეგ უფრო მეტი აღმოჩენა, როგორც დრო გაგრძელდა."
8,2225,9_25177,9,0,"ავტორი გააკეთებს სტატიის ყურადღება. მას შემდეგ, რაც ის იღებს წერილების ყურადღება, ის გადავიდა უფრო მნიშვნელოვანი ფაქტებს. ავტორი უზრუნველყოფს, რომ კლიენტებს იცოდეთ, რომ სფეროში არსებობს ბევრი რისკული რამ."
9,895,9_23847,9,0,ისინი ბევრი ფაქტებს აცხადებენ.
10,331,9_23283,9,0,"ეს უზრუნველყოფს კონკრეტული დეტალები სფეროში, და ეს გვიჩვენებს, რომ მეცნიერები მძღოლით ადვილად გადაწყვეტა პრობლემა სფეროში junk. ეს უზრუნველყოფს ინფორმაციას მტვრის პრობლემების შესახებ."
11,993,9_23945,9,0,"ამ კატეგორიაში საუბრობდა სართულზე და ეს გააჩნია, თუ როგორ უნდა გაიგოთ, თუ რა პრობლემები NASA- ს აქვს მომავალში."
12,317,9_23269,9,0,"ვინ შეესაბამება, რა რამ არის მნიშვნელოვანია სადგურში და სადგურში სადგურში."
13,277,9_23229,9,0,"ავტორი ორგანიზებს სტატიას, რომ გითხრათ, რა შეიძლება მოხდეს, თუ თქვენ გაქვთ სივრცეში და ასეთი რამ მოხდა. თქვენ არ უნდა გააკეთოთ, რა უნდა გაქვთ თქვენთან დროს და რა უნდა გააკეთოთ თქვენ, როდესაც თქვენ გაქვთ ავტომატური მიწოდება."
14,1906,9_24858,9,0,"პირველ რიგში, ის დაიწყება ყველა გაფართოებული, მაშინ ის იღებს სერიოზული და გითხრავს, რა ეფექტური რამ ხდება და რატომ ეს ხდება, და როგორ ისინი ცდილობენ თავიდან ავიცილოთ ეს ხდება."
15,2194,9_25146,9,0,"ის გააკეთებს ეს საინტერესო პირველი, მაშინ დასაწყისი და მიიღებს სერიოზული შესახებ მტვრები და თუ როგორ მნიშვნელოვანია ისინი, და თუ როგორ რისკული ეს არის, თუ ისინი შეხვდება რამ."
16,1705,9_24657,9,0,ავტორი აწარმოებს ეს
17,269,9_23221,9,0,"ავტოროგორტატორი აწარმოებს ის, რომ გააჩნია თითოეული რამ, რაც ის განიხილავს, როგორიცაა სტატინის ისტორია და ის, ვინც პირველი გაგზავნა სფეროში."
18,355,9_23307,9,0,"ავტორი დაჯავშნა სტატიას, რაც ის არის, როგორ დაიწყო.მომხმარებლის თარიღი და დრო, ის ასევე გამოიყენება, თუ როგორ რთული ეს არსებობს სფეროში."
19,2113,9_25065,9,0,"რა თქმა უნდა, პირველად ის იღებს თქვენ იგი მიერ პირველი პარამეტრი, ვიდრე მისი ტონი ცვლილებები. Preety კარგად დაჯავშნა. ისინი მიიღეს paragraph space junk ეს არის საინტერესო paragraph the aithor trys მიიღოს თქვენ ამ ისტორიაში."
20,999,9_23951,9,0,"მას შეესაბამება მინიმუმ სიჩქარე, რაც შეიძლება გამოიწვიოს ყველაზე სიჩქარე."
21,1856,9_24808,9,0,"რა თქმა უნდა, მე ვფიქრობ, თუ როგორ დააყენა მისი ინფორმაციას სქესობრივი მოგზაურობა და თუ რა ეფექტური microdebris ნამდვილად არის."
22,764,9_23716,9,0,"ისინი ცდილობენ თქვენი ყურადღება, ვთქვა, რამ დაწყება და შემდეგ ეს არის დატოვება. ისინი ცდილობენ, რომ თქვენ ფიქრობთ, რა ეს ნამდვილად არის."
23,228,9_23180,9,0,"მას აწარმოებს, რომ რთული კითხვები შეკითხვებს სტატიის დასაწყისში. იგი განმარტებს და გვიჩვენებს, რა არის ძირითადად. მას შემდეგ, რაც უფრო დეტალურად განიხილება, რა სხვაა გარე სფეროში. მაგალითად, ეს არის microdebris ფართობი და სხვა სადგურები."
24,548,9_23500,9,0,"ეს არ არის ორგანიზებული, რათა დააყენოთ ის, რაც მათთვის ყველაზე სიმძლავრე და შემდეგ არ არის ძალიან მნიშვნელოვანია, მაგრამ აქვს კარგი მნიშვნელობა, რაც ისინი ვთქვა."
25,1414,9_24366,9,0,"მას აპირებს, რომ დაინტერესებს ეს ისტორია. მას შემდეგ, რაც ბევრი სტატისტიკა და ფაქტები."
26,2,9_22954,9,0,"ის ამბობს, რა არის, და პირველი წელი ისინი დაიწყო. იგი ასევე საუბრობდა, რომ განსხვავებული crash course თქვენ შეგიძლიათ გააკეთოთ, თუ თქვენ გაქვთ სფეროში. რომ თქვენ შეიძლება გსურთ, რომ ინსტრუმენტები თქვენთან ერთად მხოლოდ შემთხვევაში somethimg ხდება."
27,1483,9_24435,9,0,"Space Junk არის basiclly როგორც littering. Satellites ცდილობენ დაუკავშირდეთ ამ პრობლემებს, რათა შეამციროს ბევრი სადგური junk. NASA- ს და სატელევიზიო სატელევიზიო სატელევიზიო სატელევიზიო სატელევიზიო სატელევიზიო სატელევიზიო სატელევიზიო სატელევიზიო სატელევიზიო სატელევიზიო Aurthor ცდილობს გაითვალისწინოთ კითხვებს, რომ სადგური სქემა შეიძლება გამოიწვიოს მრავალფეროვანი პრობლემები宇宙ში. ერთადერთი გზა, რომ მათ შეუძლიათ ეს არის, რათა შეამციროს ბევრი სადგურზე junk, რათა შეამციროს ნაკლებად astroids იღებს უნივერსიტეტი."
28,2166,9_25118,9,0,"რა თქმა უნდა, ის ამბობს, რომ სფერო არის შეფუთული რამ და რა thr წერილი იცით, რომ improtantice ეს ყველაფერი."
29,2268,9_25220,9,0,სტატიის გამოქვეყნება თარიღი მიხედვით.
30,898,9_23850,9,0,"ის აწარმოებს იგი, იწყება საქმიანობის გამოხატების მიერ, რათა დააკმაყოფილოს კლიენტების ყურადღება. მას შემდეგ, რაც ის იღებს და გვიჩვენებს, რა არის რბილი junk.as well ერთად რამდენიმე კარგი ისტორიები."
31,676,9_23628,9,0,"ავტორი დაჯავშნა სტატიას, რათა შეესაბამება ნიმუში. ავტორი დაიწყა ამ შესახებ ancedote, შემდეგ განაცხადა, რა არის, შემდეგ აჩვენა, რომ ისინი შეხვდა ერთ-ერთი, შემდეგ განაცხადა, რა შეიძლება იყოს სხვა სადგურები."
32,1754,9_24706,9,0,"ავტომატური სტატიის სტრუქტურა ეფექტურია კოსმეტიკური ტექნოლოგია და თარიღი, სადაც სტატისტიკა კოსმეტიკური ნარჩენების შესახებ; staelites, telescopes და ა.შ."
33,289,9_23241,9,0,"ავტომატური კლასიკა ამგვარად, რომ თქვენ გაგრძელებთ ინტენსიური და ის საუბრობს ზოგიერთი უფრო დიდი მოვლენები, რომლებიც ხდება სფეროში. იგი ასევე განიხილავს ზოგიერთი საკითხებს, რომლებიც შეიძლება მოხდეს მომავალში."
34,2352,9_25304,9,0,"გზა, რომ მას ყველაფერს დაჯავშნა, როგორც ის, რომ მას ყველაფერს დაჯავშნა და იცის, სადაც სწრაფად წავიდეთ."
35,527,9_23479,9,0,"ავტორი მოკლე თქვენი ყურადღება, შემდეგ გააჩნია, თუ ნაბიჯი. ისტორია და რატომ ხდება. მაშინ ის აჩვენებს, რომ რა ეფექტურია მას შემდეგ, რაც გააჩნია, რომ ეს არის დიდი პრობლემა."
36,1933,9_24885,9,0,"ავტორი აწარმოებს სტატიას, რომელიც გვიჩვენებს, რომ მტვერი, რომელიც გამოგზავნილია ზედაპირზე, და რა ხდება, როდესაც მტვერი იღებს."
37,349,9_23301,9,0,დასაწყისში დასაწყისში დასაწყისში დასაწყისში დასაწყისში დასაწყისში დასაწყისში.
38,294,9_23246,9,0,"ის იღებს ერთ-ერთი, რაც ის იცის. ნაცვლად წავიდეთ გარშემო."
