id	prompt	score
fr_010001	1	0
fr_010002	1	3
fr_010003	1	0
fr_010004	1	3
fr_010005	1	0
fr_010006	1	0
fr_010007	1	3
fr_010008	1	3
fr_010009	1	0
fr_010010	1	0
fr_010011	1	3
fr_010012	1	0
fr_010013	1	2
fr_010014	1	1
fr_010015	1	0
fr_010016	1	0
fr_010017	1	1
fr_010018	1	3
fr_010019	1	0
fr_010020	1	3
fr_010021	1	1
fr_010022	1	0
fr_010023	1	2
fr_010024	1	0
fr_010025	1	0
fr_010026	1	2
fr_010027	1	1
fr_010028	1	0
fr_010029	1	0
fr_010030	1	0
fr_010031	1	3
fr_010032	1	1
fr_010033	1	0
fr_010034	1	0
fr_010035	1	0
fr_010036	1	1
fr_010037	1	0
fr_010038	1	0
fr_010039	1	1
fr_010040	1	2
fr_010041	1	0
fr_010042	1	0
fr_010043	1	0
fr_010044	1	0
fr_010045	1	2
fr_010046	1	0
fr_010047	1	0
fr_010048	1	0
fr_010049	1	1
fr_010050	1	2
fr_010051	1	3
fr_010052	1	3
fr_010053	1	0
fr_010054	1	3
fr_010055	1	3
fr_010056	1	3
fr_010057	1	0
fr_010058	1	0
fr_010059	1	2
fr_010060	1	3
fr_010061	1	0
fr_010062	1	0
fr_010063	1	3
fr_010064	1	3
fr_010065	1	0
fr_010066	1	3
fr_010067	1	0
fr_010068	1	3
fr_010069	1	0
fr_010070	1	0
fr_010071	1	2
fr_010072	1	0
fr_010073	1	1
fr_010074	1	0
fr_010075	1	3
fr_010076	1	2
fr_010077	1	2
fr_010078	1	1
fr_010079	1	3
fr_010080	1	3
fr_010081	1	3
fr_010082	1	1
fr_010083	1	3
fr_010084	1	3
fr_010085	1	1
fr_010086	1	3
fr_010087	1	3
fr_010088	1	0
fr_010089	1	0
fr_010090	1	0
fr_010091	1	1
fr_010092	1	3
fr_010093	1	0
fr_010094	1	1
fr_010095	1	3
fr_010096	1	0
fr_010097	1	3
fr_010098	1	0
fr_010099	1	0
fr_010100	1	0
fr_010101	1	2
fr_010102	1	0
fr_010103	1	1
fr_010104	1	0
fr_010105	1	0
fr_010106	1	0
fr_010107	1	0
fr_010108	1	0
fr_010109	1	3
fr_010110	1	0
fr_010111	1	0
fr_010112	1	1
fr_010113	1	3
fr_010114	1	2
fr_010115	1	0
fr_010116	1	3
fr_010117	1	3
fr_010118	1	1
fr_010119	1	3
fr_010120	1	0
fr_010121	1	0
fr_010122	1	3
fr_010123	1	3
fr_010124	1	0
fr_010125	1	0
fr_010126	1	1
fr_010127	1	0
fr_010128	1	0
fr_010129	1	0
fr_010130	1	0
fr_010131	1	1
fr_010132	1	0
fr_010133	1	3
fr_010134	1	0
fr_010135	1	0
fr_010136	1	3
fr_010137	1	0
fr_010138	1	0
fr_010139	1	3
fr_010140	1	3
fr_010141	1	2
fr_010142	1	0
fr_010143	1	3
fr_010144	1	0
fr_010145	1	0
fr_010146	1	3
fr_010147	1	3
fr_010148	1	0
fr_010149	1	0
fr_010150	1	3
fr_010151	1	3
fr_010152	1	1
fr_010153	1	3
fr_010154	1	3
fr_010155	1	3
fr_010156	1	3
fr_010157	1	0
fr_010158	1	3
fr_010159	1	0
fr_010160	1	2
fr_010161	1	0
fr_010162	1	1
fr_010163	1	3
fr_010164	1	0
fr_010165	1	2
fr_010166	1	2
fr_010167	1	3
fr_010168	1	3
fr_010169	1	0
fr_010170	1	0
fr_010171	1	2
fr_010172	1	0
fr_010173	1	1
fr_010174	1	0
fr_010175	1	0
fr_010176	1	3
fr_010177	1	3
fr_010178	1	3
fr_010179	1	0
fr_010180	1	2
fr_010181	1	3
fr_010182	1	0
fr_010183	1	2
fr_010184	1	0
fr_010185	1	0
fr_010186	1	0
fr_010187	1	3
fr_010188	1	2
fr_010189	1	3
fr_010190	1	3
fr_010191	1	0
fr_010192	1	0
fr_010193	1	0
fr_010194	1	0
fr_010195	1	3
fr_010196	1	0
fr_010197	1	2
fr_010198	1	3
fr_010199	1	3
fr_010200	1	1
fr_010201	1	2
fr_010202	1	0
fr_010203	1	2
fr_010204	1	3
fr_010205	1	3
fr_010206	1	2
fr_010207	1	0
fr_010208	1	0
fr_010209	1	3
fr_010210	1	2
fr_010211	1	0
fr_010212	1	2
fr_010213	1	3
fr_010214	1	0
fr_010215	1	0
fr_010216	1	0
fr_010217	1	0
fr_010218	1	3
fr_010219	1	3
fr_010220	1	3
fr_010221	1	1
fr_010222	1	3
fr_010223	1	0
fr_010224	1	0
fr_010225	1	2
fr_010226	1	0
fr_010227	1	0
fr_010228	1	0
fr_010229	1	3
fr_010230	1	1
fr_010231	1	0
fr_010232	1	3
fr_010233	1	0
fr_010234	1	3
fr_010235	1	0
fr_010236	1	1
fr_010237	1	0
fr_010238	1	3
fr_010239	1	3
fr_010240	1	1
fr_010241	1	0
fr_010242	1	3
fr_010243	1	1
fr_010244	1	0
fr_010245	1	3
fr_010246	1	0
fr_010247	1	0
fr_010248	1	0
fr_010249	1	0
fr_010250	1	1
fr_010251	1	0
fr_010252	1	0
fr_010253	1	1
fr_010254	1	1
fr_010255	1	1
fr_010256	1	3
fr_010257	1	2
fr_010258	1	0
fr_010259	1	0
fr_010260	1	2
fr_010261	1	0
fr_010262	1	3
fr_010263	1	3
fr_010264	1	1
fr_010265	1	0
fr_010266	1	3
fr_010267	1	1
fr_010268	1	0
fr_010269	1	3
fr_010270	1	0
fr_010271	1	3
fr_010272	1	3
fr_010273	1	0
fr_010274	1	3
