id	prompt	score
en_025954	10	0
en_025957	10	1
en_025962	10	1
en_025971	10	2
en_025972	10	1
en_025979	10	1
en_025980	10	1
en_025981	10	0
en_025990	10	0
en_025992	10	2
en_025998	10	2
en_026005	10	1
en_026010	10	1
en_026012	10	2
en_026021	10	2
en_026032	10	1
en_026038	10	2
en_026040	10	1
en_026045	10	0
en_026057	10	2
en_026069	10	1
en_026076	10	2
en_026087	10	2
en_026093	10	1
en_026094	10	1
en_026097	10	2
en_026098	10	2
en_026099	10	1
en_026105	10	2
en_026109	10	1
en_026123	10	0
en_026124	10	1
en_026132	10	2
en_026133	10	2
en_026135	10	1
en_026147	10	1
en_026150	10	2
en_026153	10	0
en_026155	10	1
en_026165	10	1
en_026171	10	2
en_026179	10	2
en_026180	10	2
en_026184	10	0
en_026193	10	2
en_026196	10	2
en_026214	10	1
en_026216	10	1
en_026217	10	1
en_026220	10	1
en_026226	10	2
en_026229	10	1
en_026230	10	2
en_026239	10	1
en_026240	10	2
en_026246	10	2
en_026252	10	2
en_026253	10	2
en_026254	10	2
en_026262	10	2
en_026272	10	2
en_026291	10	2
en_026293	10	2
en_026294	10	1
en_026296	10	2
en_026298	10	2
en_026308	10	0
en_026309	10	1
en_026311	10	2
en_026316	10	2
en_026320	10	2
en_026332	10	2
en_026346	10	1
en_026351	10	2
en_026353	10	1
en_026369	10	1
en_026370	10	2
en_026372	10	2
en_026373	10	1
en_026383	10	2
en_026384	10	1
en_026386	10	1
en_026387	10	2
en_026389	10	1
en_026390	10	1
en_026392	10	1
en_026393	10	2
en_026398	10	0
en_026401	10	2
en_026408	10	0
en_026416	10	2
en_026418	10	0
en_026427	10	0
en_026440	10	1
en_026444	10	0
en_026445	10	0
en_026449	10	1
en_026462	10	0
en_026479	10	2
en_026493	10	1
en_026507	10	1
en_026509	10	1
en_026511	10	1
en_026516	10	2
en_026518	10	1
en_026526	10	2
en_026530	10	0
en_026536	10	2
en_026541	10	1
en_026547	10	1
en_026554	10	2
en_026561	10	1
en_026567	10	2
en_026571	10	0
en_026572	10	2
en_026592	10	1
en_026593	10	0
en_026594	10	1
en_026608	10	1
en_026611	10	1
en_026617	10	1
en_026619	10	1
en_026620	10	1
en_026633	10	1
en_026642	10	1
en_026645	10	1
en_026653	10	2
en_026658	10	2
en_026672	10	1
en_026675	10	2
en_026682	10	1
en_026687	10	2
en_026690	10	0
en_026691	10	2
en_026693	10	2
en_026696	10	2
en_026708	10	2
en_026711	10	0
en_026712	10	0
en_026714	10	1
en_026716	10	1
en_026720	10	2
en_026724	10	1
en_026726	10	1
en_026743	10	1
en_026749	10	2
en_026751	10	1
en_026761	10	0
en_026765	10	1
en_026768	10	2
en_026780	10	1
en_026784	10	2
en_026786	10	0
en_026789	10	1
en_026799	10	2
en_026800	10	2
en_026804	10	1
en_026805	10	2
en_026810	10	1
en_026811	10	2
en_026817	10	1
en_026820	10	2
en_026823	10	1
en_026826	10	1
en_026827	10	0
en_026828	10	2
en_026830	10	0
en_026834	10	2
en_026835	10	2
en_026843	10	2
en_026853	10	1
en_026861	10	0
en_026868	10	0
en_026869	10	0
en_026871	10	2
en_026872	10	2
en_026874	10	1
en_026877	10	1
en_026884	10	1
en_026889	10	2
en_026896	10	0
en_026900	10	1
en_026906	10	1
en_026911	10	2
en_026919	10	1
en_026920	10	1
en_026922	10	1
en_026927	10	0
en_026932	10	2
en_026935	10	1
en_026938	10	2
en_026940	10	1
en_026946	10	1
en_026950	10	1
en_026953	10	2
en_026960	10	2
en_026975	10	0
en_026979	10	2
en_026983	10	1
en_026984	10	1
en_026989	10	1
en_026994	10	1
en_027000	10	1
en_027004	10	2
en_027007	10	0
en_027013	10	1
en_027014	10	1
en_027020	10	1
en_027038	10	2
en_027039	10	2
en_027044	10	1
en_027045	10	2
en_027066	10	1
en_027070	10	1
en_027083	10	0
en_027090	10	2
en_027092	10	1
en_027093	10	1
en_027099	10	1
en_027100	10	2
en_027106	10	1
en_027107	10	1
en_027109	10	2
en_027111	10	1
en_027115	10	0
en_027119	10	0
en_027123	10	2
en_027124	10	1
en_027128	10	1
en_027136	10	1
en_027142	10	0
en_027146	10	1
en_027157	10	2
en_027166	10	1
en_027175	10	1
en_027180	10	1
en_027183	10	1
en_027184	10	0
en_027199	10	2
en_027202	10	0
en_027203	10	2
en_027207	10	2
en_027215	10	0
en_027216	10	2
en_027230	10	0
en_027234	10	0
en_027249	10	2
en_027255	10	1
en_027262	10	2
en_027268	10	0
en_027273	10	1
en_027275	10	2
en_027277	10	1
en_027279	10	1
en_027281	10	2
en_027296	10	2
en_027297	10	1
en_027309	10	1
en_027317	10	2
en_027319	10	2
en_027334	10	0
en_027356	10	2
en_027358	10	1
en_027362	10	2
en_027364	10	0
en_027365	10	2
en_027368	10	2
en_027377	10	1
en_027379	10	1
en_027400	10	2
en_027415	10	1
en_027420	10	0
en_027424	10	0
en_027427	10	2
en_027430	10	2
en_027432	10	1
en_027434	10	1
en_027435	10	2
en_027437	10	2
en_027438	10	2
en_027444	10	0
en_027445	10	0
en_027458	10	1
en_027462	10	0
en_027479	10	1
en_027492	10	0
en_027501	10	0
en_027503	10	1
en_027515	10	1
en_027521	10	1
en_027531	10	2
en_027535	10	1
en_027544	10	2
en_027545	10	1
en_027553	10	2
en_027565	10	1
en_027568	10	2
en_027579	10	1
en_027580	10	1
en_027586	10	1
