,Unnamed: 0,id,text,prompt,score
280,280,zh_010281,(_1)醋的PH值(2)样品的体积形状与醋的接触面积(3)是否受外界因素影响,1,3
95,95,zh_010096,(_1)各个容器中醋含量(2)各个样本与醋的接触面积(3)各个样本原始质量是否为干燥质量(4)各个样本密度,1,3
21,21,zh_010022,(_1)大理石上是否附着其他物质(2)醋是否完全与反应物反应(3)测量是否有偏差,1,0
258,258,zh_010259,(_1)样本与酸雨反应的生成物适量(2)空气中成分试验得影响(3)反应后酸雨的PH变化量。,1,0
248,248,zh_010249,(_1)测定4个不同样品的质量(2)将醋分别倒入4个相同的容器中(3)测定酸雨对不同材料的影响,1,0
23,23,zh_010024,样本在实验后是否会持续酸化,1,0
143,143,zh_010144,(_1)醋酸浓度反应相同 (2)设置醋酸不同浓度对相同质量材料相同类型材料影响,1,0
291,291,zh_010292,(_1)刷洗过程中是否有样品亏损减少 (2)在放干时间内石灰岩是否损耗 (3)酸的PH是否符合酸雨PH标准,1,0
292,292,zh_010293,(_1)选取不同质量的大理石 石灰石 木头 塑料重复实验 (2)取同样质量的材料进行重复实验 (3)使用不同浓度的醋进行重复实验,1,0
86,86,zh_010087,"(_1)得到一张没有污渍的白纸(2)计算得出纸的质量(3)将醋滴到纸上,24h过后测定质量",1,0
93,93,zh_010094,(_1)醋的作用(2)初始形态(3)蒸馏水的作用(4)蒸馏水是否对材料有影响(5)材料与醋是否反应,1,0
128,128,zh_010129,(_1)酸雨加入量 (2)材料腐蚀程度 (3)酸雨腐蚀时间,1,1
234,234,zh_010235,(_1)测量出每个容器中所添加的醋的量(2)使样品自由风干不用于清洗(3)测出材料放入醋中发生的变化,1,1
175,175,zh_010176,(_1)多选几种材料  (2) 醋要加杂质 (3) 醋的酸碱度,1,1
19,19,zh_010020,(_1)醋的PH大小(2)样本的状态(3)样本的密度,1,1
268,268,zh_010269,(_1)四个容器中醋的体积(2)每种样品被取出时的准确时间(3)蒸馏水涮洗的时间,1,2
230,230,zh_010231,(_1)醋的浓度(2)样本主要成分占比(3)容易的材料,1,2
77,77,zh_010078,醋的PH值  倒入容器中醋的质量 倒入容器中醋的浓度,1,2
32,32,zh_010033,(_1)四个不同样品的体积大小不同(2)四个容器中醋的含量浓度相同(3)将容器密封,1,2
