id	prompt	score
es_308Q0PEVBAQE096ZB2OQPF9BDIFI93	1	3
es_30LB5CDZNENIZ57WBATJWZB8AAAZ0Y	1	3
es_30ZX6P7VFA8ZV0568BUBRTGXN4EJ21	1	3
es_3137ONMDKIIHZERLTP49WHX6SNOEGB	1	0
es_31LM9EDVON5VKMUZUUSVJHJV3MFNJL	1	2
es_31LM9EDVON5VKMUZUUSVJHJVVCBJNL	1	2
es_31Q0U3WYDRSZMKM8OY50JK1J18B71J	1	0
es_31Q0U3WYDRSZMKM8OY50JK1J19S712	1	1
es_31Q0U3WYDRSZMKM8OY50JK1J1IW71O	1	3
es_31QNSG6A5T6HXK6TNJEFYUORPHQ78S	1	3
es_31Z0PCVWUMS0V4YHQHPAPQKET7DT7L	1	0
es_31Z0PCVWUMS0V4YHQHPAPQKEYRV7TQ	1	0
es_320DUZ38G9ZPAUDD7QF0TXAYUSNJGV	1	3
es_320DUZ38G9ZPAUDD7QF0TXAYYTGGJR	1	2
es_32AT8R96GNM1EFXYEPDVPD2C8JRUS7	1	1
es_32RIADZISUH2XH3JZJMDC94I3YQS4J	1	3
es_32SCWG5HIJHJZCR5QQBYE2JL9RW6PE	1	3
es_32SVAV9L3HMDFPYLI5V3H4I601DA3P	1	3
es_32UTUBMZ7I92A85W8T15VAUV9E8VB5	1	3
es_32Z9ZLUT1NXHB1ZL79PNMT3L8PCOHQ	1	3
es_32ZKVD547H0IYZ3DOJVZCF2CIJU3B9	1	3
es_333U7HK6IBSMYA3M50ESNC71PPZDJT	1	0
es_336KAV9KYS5PQP05UBVE1GVLZ7QY2A	1	1
es_336YQZE83XRHV5UETR915SBQ9DJM50	1	3
es_338JKRMM28CS9X5KXQK5LYJGKREHAT	1	3
es_338JKRMM28CS9X5KXQK5LYJGQI0AHW	1	3
es_33CID571066UB8PPFWKTQIYH2C23LW	1	0
es_33CID571066UB8PPFWKTQIYH3ACL3L	1	0
es_33F859I568QXS7AC34K1G93M1PNHB7	1	1
es_33FBRBDW6QCN911PE0MQEGG5GRR8CK	1	0
es_33JKGHPFYE7LLU0KXR5NZ9BC98QMNQ	1	1
es_33LK57MYLVII0ER8KCC365HRBJAZS6	1	3
es_33NF62TLXLFUCG9WXH0FRP2R7PNKJK	1	0
es_33OOO72IVJY67LTDHYXL5CCS5S2TC7	1	3
es_33PPO7FECXSQ3ZJGNITSBBS141VDIC	1	2
es_33PPO7FECXSQ3ZJGNITSBBS14OCID8	1	3
es_33PPO7FECXSQ3ZJGNITSBBS1CSDDIK	1	3
es_33PPO7FECXSQ3ZJGNITSBBS1FDQIDB	1	3
es_33TIN5LC06N0Q9L4FKATB33Z3PN9YM	1	3
es_34HJIJKLP79IP9KNTERINWOP1LX4VE	1	1
es_34HJIJKLP79IP9KNTERINWOP8AFV48	1	2
es_34J10VATJHBKS8NLS4ZCBAZ0QAGIQ9	1	3
es_34S6N1K2ZXW95GWOUH9VUCZRGO8LHI	1	3
es_352YTHGROXQD78P3OPAE8VXG21I4HJ	1	1
es_358010RM5G69NB8XDPTNK7LNY0WVXM	1	2
es_358UUM7WR1GNFPLPMSKFPBJW5JWR7G	1	2
es_358UUM7WR1GNFPLPMSKFPBJW8E27RV	1	2
es_358UUM7WR1GNFPLPMSKFPBJWE007R7	1	2
es_35GCEFQ6I71EGX6TUXB2YX9FI233Z7	1	3
es_35H6S234SCDF629M6B2KGWE4Q0656S	1	0
es_35USIKEBNTTJWRFSABY6ADEQEZH6NJ	1	3
es_369J354OFFNDMZY6N7LBKT5TD72G6W	1	2
es_36PW28KO419GPNEI7PCZ0VM3TDPAEE	1	1
es_36U2A8VAG3CK754VJH1I1CHFJOMKYT	1	2
es_36U2A8VAG3CK754VJH1I1CHFMMQKYW	1	2
es_36V4Q8R5ZMD6ORDCDJX4336H4ACQMO	1	3
es_36WLNQG781NL8XJAD3CVV669IV7EBH	1	3
es_36ZN444YTTBH7WA5DR78M540GY5IOR	1	2
es_373ERPL3YQLADNIWZVNGU7BE4HLTR4	1	0
es_379J5II41QTXL65M4G1P992EU64LES	1	3
es_37FMASSAYE4XO2LW9M2MGL4110FBI3	1	3
es_37Q970SNZGLL5I60C13BEBXFSY9S14	1	3
es_37Q970SNZGLL5I60C13BEBXFY431SP	1	3
es_37TRT2X24S4TJD52R4NMSMJ1HJZJBT	1	0
es_37TRT2X24S4TJD52R4NMSMJ1OFJJBC	1	0
es_37UQDCYH6Z8F8W26VCPPQ88ZRBHV7U	1	0
es_37WLF8U1WR3IOLUPDY6QILXMJG66KV	1	0
es_37XITHEISYMTR6GLD9SQ5XBA9JERCH	1	2
es_37XITHEISYMTR6GLD9SQ5XBABRACRG	1	1
es_382M9COHEJS04WSGDUTQ0WYXZVRUED	1	0
es_38BQUHLA9YD33F0WY650EYBHR3PMOX	1	0
es_38F71OA9GV99X2N3Z3MAR4232Q9MF1	1	3
es_38YMOXR4MWC9JLO62CPT6WRH2A0W68	1	3
es_38YMOXR4MWC9JLO62CPT6WRH2HO6WK	1	3
es_38YMOXR4MWC9JLO62CPT6WRH7KWW6T	1	0
es_38YMOXR4MWC9JLO62CPT6WRHDXQ6WT	1	2
es_392CY0QWG34D330NU7SZ87YVRBW4IU	1	3
es_39GAF6DQWTD1XAN46W8GPYHMQRO1VG	1	3
es_39GAF6DQWTD1XAN46W8GPYHMSPI1V8	1	3
es_39GXDJN2OVRJ8A7P5HHV484U9QA8VE	1	1
es_39JEC7537WELKDX2MTX06U0DTYXVC1	1	2
es_39LNWE0K4W9CK1U29DJHLBWPRK4IU8	1	3
es_39LNWE0K4W9CK1U29DJHLBWPU9FIU0	1	2
es_39OWYR0EPM49RJCHI6ALLZPA6KUFYQ	1	0
es_39PAAFCODOD26UZD8FSQV40HFFOTVX	1	3
es_39RP059MEJ6JKLBNU10E8EBIIGZBMX	1	2
es_39U1BHVTDN4IULXUO5MKC98YPBCT3E	1	3
es_39ZSFO5CAA98FCE8RV4HXCBP3AFJUS	1	3
es_3A1COHJ8NL8EQ9C50S0RP7DL2NHH84	1	3
es_3A1PQ49WVJUWF9SK17RCAXQDICF1HS	1	3
es_3A1PQ49WVJUWF9SK17RCAXQDJ1H1H9	1	0
es_3A1PQ49WVJUWF9SK17RCAXQDJBSH1K	1	3
es_3AAPLD8UCEUXOT4T3QBMG398BHMHT6	1	1
es_3ATTHHXXWC1415OXEIU45IVTL9AXII	1	2
es_3ATTHHXXWC1415OXEIU45IVTQZLIXZ	1	3
es_3AZHRG4CU6XHEC03Q3YASY6T2BM30F	1	0
es_3B1NLC6UG19LW5GB23KKQTWA5SLGPO	1	3
es_3B2X28YI3YSHVIQV7LTXJIEWSB36BR	1	3
es_3B3WTRP3DDFAPOSXMZ3Y2Z2UO4V29P	1	0
es_3BDCF01OGZ7VRBMD4HDJGCUUEK0LY4	1	1
es_3BF51CHDTXNW8K725ONCWS73C6L0H7	1	1
es_3BV8HQ2ZZYECC8L317T1O7UQK5SA68	1	3
es_3BWI6RSP7IMY6LGK0M0FQ4KDVDEE75	1	2
es_3BXQMRHWK1BYGKKTUSH9D4367UAMUF	1	3
es_3BXQMRHWK1BYGKKTUSH9D4367VHMUO	1	1
es_3BXQMRHWK1BYGKKTUSH9D436GLHMUD	1	2
es_3C2NJ6JBKCUVEQWRN9M3K0XEYZG2N9	1	0
es_3C44YUNSI32IKL6K0DJCK8TD1LOPDL	1	3
es_3CFVK00FWNYT8RC7YYIRXLA1E006LX	1	0
es_3COPXFW7XDPQYRCUSU5ZOLO3JWQPK5	1	3
es_3CTOC39K3936H12CENB6NKX5XN6J7S	1	3
es_3D3VGR7TA2S5E6K2KGHPCU7G1D83RE	1	3
es_3D4CH1LGEC604I04LEON43WV7UD9GF	1	0
es_3D8YOU6S9GXWRHZ17CASO86KHWA6U8	1	3
es_3D8YOU6S9GXWRHZ17CASO86KIXA6UB	1	2
es_3DBQWDE4Y8BNDNFE5SO1I70QG345NW	1	0
es_3DBQWDE4Y8BNDNFE5SO1I70QLDT5NA	1	1
es_3DEL4X4EL8YQR532I0G7R6PHCWZXYO	1	3
es_3DH6GAKTY02FW03HJI4SOR5SIPKYZT	1	2
es_3DHE4R9OCYOP4YF50598UGOH2F1G2B	1	3
es_3DL65MZB8FS4I2BGR38Q6QCRRTECEA	1	2
es_3DQQ64TANIYHTR6BH8O2CWIY193WPJ	1	2
es_3DY4FPOOA31PQFML4QNVVPZZUFPVRT	1	1
es_3DY4FPOOA31PQFML4QNVVPZZWQIRV6	1	3
es_3DZQRBDBSNSHFLKFZ5HU24CCXAW3S7	1	2
es_3E337GFOLBLLTK4YMO7SM4RFEJANGA	1	3
es_3E47SOBEYS9GY7D2NMYHR5AJMCOCI5	1	0
es_3E47SOBEYS9GY7D2NMYHR5AJNK9CI7	1	2
es_3EF8EXOTT38S6FNAP7UXMA6SWM11JG	1	3
es_3EJJQNKU9TIK8ER1Z16RGO8QJDIHRG	1	0
es_3EJJQNKU9TIK8ER1Z16RGO8QRMBHRZ	1	0
es_3EJPLAJKEOTDDGTBDZ9050LZSKDZ6Z	1	3
es_3EO896NRAY8TFZZJRQE7SGPNTDPTJZ	1	0
es_3ERMJ6L4D05WI98XHKOY3CPM2PLM70	1	0
es_3ERMJ6L4D05WI98XHKOY3CPMA8L7MV	1	1
es_3EWIJTFFVQKKOAG0FNF6BPAQMQ2E0G	1	0
es_3F0BG9B9MR0WCQXB0NC9X7CT8V77Y8	1	3
es_3F6HPJW4JFDL1K55FADQGJA5PYZ2WN	1	2
es_3FE2ERCCZZL9OIX9QMXSV25CUHMPOY	1	3
es_3FE2ERCCZZL9OIX9QMXSV25CYCKOPP	1	2
es_3FE7TXL1LK0GHN9J31EKOUSJYAP2QD	1	2
es_3FE7TXL1LK0GHN9J31EKOUSJZFD2QC	1	0
es_3FIJLY1B6WHFI5KGRJE288WY5EGPFW	1	3
es_3FTF2T8WLTVW14Q40JS5Q6IJTY39W2	1	1
es_3FTYUGLFSWYERBO1GYAYM2OW08JD5J	1	3
es_3G5W44VEU9VKLEJVPBFCUCABASGKGB	1	3
es_3G5W44VEU9VKLEJVPBFCUCABE9UKGR	1	0
es_3GDTJDAPVWO0INDGRPG4HCLHBN98MH	1	0
es_3GGAI1SQEXB2UQ3T81W9JYH07VOCMP	1	1
es_3GLB5JMZFZ8C78DLXUTPQZFLUMCGDX	1	0
es_3GS6S824SSAHQ6UY1TBA87D33M1WN8	1	3
es_3GU1KF0O4KEP5O80MHS6PI5DOOBPBF	1	2
es_3HMIGG0U4NJ0C42UAS4FB78OKHV8YJ	1	0
es_3HMVI3QICL5I14I9B7V0WXLGAZQY16	1	0
es_3HRMW88U183I0Y8DWL3POXFZU9OM05	1	0
es_3HUTX6F6VW0DWBW3OOMGZPXJK6T2OM	1	0
es_3HWRJOOET7FKPJ0COPYQLVG9EXZSEM	1	1
es_3HYA4D452TWJQYJAPL3QCVO5VVFF29	1	3
es_3I7DHKZYGPDBPV2X745OA2RHEP45F1	1	3
es_3IAEQB9FMGX84U3LCZX7C219OTOWD0	1	2
es_3IGI0VL649X9LXLWA7K0RD0HVWWNO0	1	3
es_3IHR8NYAM9E5KPNR72IJH4Z7GT9P4K	1	3
es_3ITXP059PYWS0ZM42Q9HIBT1IA2JSE	1	3
es_3IX2EGZR7DWGZKMRN19CS1O53IFJRD	1	3
es_3IXEICO794WHR4KC77KIJCKIYJ46TK	1	3
es_3J2UYBXQQNPGBVNL95W8Z1ID174603	1	2
es_3J88R45B2IBWIRB1RDKOEFW5D0NXP8	1	3
es_3JBT3HLQFAFLNMBGSV89B0CGEI5ZPK	1	3
es_3JBT3HLQFAFLNMBGSV89B0CGLP3PZT	1	3
es_3JCG6DTRV53X96B45C4LKCQMFIJQQ0	1	3
es_3JCG6DTRV53X96B45C4LKCQMN95QQC	1	3
es_3JNQLM5FT6Z5QQT6BW6O78TPPXGL28	1	0
es_3K3R2QNK8DGJ901Z5JD48IXM9ZAU95	1	3
es_3KGTPGBS6ZY89GG0KAYPYVP83C62UT	1	0
es_3KJYX6QCMBO8SR38WLEMTYD8IIXJVT	1	1
es_3KKG4CDWKKBKS27KQDMMVEZS9KK94Q	1	0
es_3KOPY89HMAFOGI1PCB8GA3LPRSRJ37	1	0
es_3KV0LJBBH4Y60SSCQYM48TGM79JMRN	1	1
es_3L2IS5HSFCV4Y25T6TW9QJS6JCYUNS	1	0
es_3L2IS5HSFCV4Y25T6TW9QJS6KCXUNS	1	3
es_3L6L49WXW2A1RF58NN95JYUQMPJ45D	1	3
es_3L6L49WXW2A1RF58NN95JYUQWOT54W	1	3
es_3L70J4KAZIZBXH0IBU1FUD4IX5ZDAB	1	0
es_3LKC68YZ3CGZ8RUA28BNNWD8OJOWOA	1	0
es_3LKC68YZ3CGZ8RUA28BNNWD8OKEWO2	1	2
es_3LPW2N6LKVF08DZN2T0NW2SKMJMU54	1	3
es_3LQ8PUHQFN57FFOI9ECI2W7Z3WJIHY	1	0
es_3LRLIPTPESMJBN6S3BN2YQZ8KDFKAF	1	3
es_3LRLIPTPESMJBN6S3BN2YQZ8L2CKAR	1	3
es_3LUY3GC631D23C5A90GQKGJHDNWP7R	1	1
es_3LWJHTCVCEZ0IHLVRWTR8DM88TCQFY	1	1
es_3M0NZ3JDP3BHUCTX8GZVDU7ZVJRZ5V	1	0
es_3M1CVSFP62I5MQ4NGG7ZUCBHK9QAQX	1	3
es_3M23Y66PO4KGC47XI7FS97OWYMM6S1	1	3
es_3M68NM076JK4BP7K3IFNJXJ0HJX6RA	1	2
es_3MAOD8E57SNWF6ZOBY7WAQRAD13XNP	1	2
es_3MRNMEIQW7JST0RM8LQ53RKTLW2DLL	1	1
es_3MX2NQ3YCB7SPHTI7YBAG9ROFOP5X2	1	2
es_3N1FSUEFL7DWVSK12TROHAII07G4DN	1	3
es_3N8OEVH1FT3R3IL8BMKD620MMDGOOA	1	3
es_3NAPMVF0ZYS6B544725EO3BOTKV72I	1	0
es_3NC5L260MQZXX58FCJ1NJ8R8TBVFOI	1	3
es_3NJM2BJS4YJ8FT060HO102BV93PPCR	1	1
es_3NKQQ8O390IVCQEGHZI6UEGCZJDDUQ	1	0
es_3NL0RFNU0H049YQBUADBLND8KAX4K8	1	2
es_3NOKK93PR3LJF0VUNUELWECUES2EES	1	0
es_3NOKK93PR3LJF0VUNUELWECUM2QEE8	1	3
es_3NPI0JQDAQIP1A2HM3JRPCBZTNVPT8	1	3
es_3NVC2EB65SCEB7WOYB9JKQ0DCXX3YS	1	3
es_3O7L7BFSHG2VV5XGJD4CHTAM4Y5EIL	1	3
es_3O7L7BFSHG2VV5XGJD4CHTAM509EIU	1	3
es_3OJSZ2ATDU9YA2NRPL7CMAE0FOY75L	1	2
es_3OLQQLKKNU2RQGHM1VPCTUPMIL9EJT	1	0
es_3OONKJ5DKEW7KOWZ7HFR0I0NJWTBOT	1	2
es_3OS4RQUCRBSDEBJ68EW1DOR9LROBFF	1	3
es_3OSWBBLG1GANTU8BM4TTELFGW5PDXO	1	3
es_3OVR4I9USRWQK1O67FX8H9PHI1HQ4J	1	2
es_3OWEPKL08BP20RTXTL3YGREM58QN7G	1	3
es_3P529IW9K0YPRK5IZRLVRRNEX7ULFC	1	1
es_3P529IW9K0YPRK5IZRLVRRNEZHOFLM	1	3
es_3PB5A5BD0XJWQZCB6HQ3Q75P3ZIG7K	1	3
es_3PDJHANYK7TRMVTH7D3T5THUPX06HJ	1	3
es_3PDJHANYK7TRMVTH7D3T5THURMWH66	1	3
