id	prompt	score
en_025949	10	2
en_025950	10	1
en_025951	10	2
en_025952	10	1
en_025953	10	2
en_025954	10	0
en_025955	10	1
en_025956	10	1
en_025957	10	1
en_025958	10	2
en_025959	10	2
en_025960	10	0
en_025961	10	1
en_025962	10	1
en_025963	10	1
en_025964	10	0
en_025965	10	0
en_025966	10	1
en_025967	10	1
en_025968	10	2
en_025969	10	1
en_025970	10	0
en_025971	10	2
en_025972	10	1
en_025973	10	2
en_025974	10	1
en_025975	10	1
en_025976	10	2
en_025977	10	2
en_025978	10	0
en_025979	10	1
en_025980	10	1
en_025981	10	0
en_025982	10	1
en_025983	10	0
en_025984	10	1
en_025985	10	1
en_025986	10	1
en_025987	10	1
en_025988	10	1
en_025989	10	2
en_025990	10	0
en_025991	10	2
en_025992	10	2
en_025993	10	2
en_025994	10	1
en_025995	10	2
en_025996	10	1
en_025997	10	1
en_025998	10	2
en_025999	10	2
en_026000	10	2
en_026001	10	1
en_026002	10	2
en_026003	10	1
en_026004	10	2
en_026005	10	1
en_026006	10	1
en_026007	10	2
en_026008	10	1
en_026009	10	1
en_026010	10	1
en_026011	10	0
en_026012	10	2
en_026013	10	2
en_026014	10	1
en_026015	10	0
en_026016	10	1
en_026017	10	2
en_026018	10	1
en_026019	10	2
en_026020	10	1
en_026021	10	2
en_026022	10	1
en_026023	10	2
en_026024	10	2
en_026025	10	2
en_026026	10	2
en_026027	10	2
en_026028	10	1
en_026029	10	2
en_026030	10	1
en_026031	10	1
en_026032	10	1
en_026033	10	2
en_026034	10	1
en_026035	10	1
en_026036	10	1
en_026037	10	1
en_026038	10	2
en_026039	10	1
en_026040	10	1
en_026041	10	2
en_026042	10	1
en_026043	10	0
en_026044	10	0
en_026045	10	0
en_026046	10	1
en_026047	10	0
en_026048	10	2
en_026049	10	2
en_026050	10	2
en_026051	10	2
en_026052	10	1
en_026053	10	2
en_026054	10	2
en_026055	10	1
en_026056	10	1
en_026057	10	2
en_026058	10	2
en_026059	10	0
en_026060	10	1
en_026061	10	1
en_026062	10	2
en_026063	10	0
en_026064	10	2
en_026065	10	1
en_026066	10	1
en_026067	10	2
en_026068	10	1
en_026069	10	1
en_026070	10	1
en_026071	10	1
en_026072	10	2
en_026073	10	2
en_026074	10	2
en_026075	10	1
en_026076	10	2
en_026077	10	1
en_026078	10	2
en_026079	10	1
en_026080	10	1
en_026081	10	2
en_026082	10	1
en_026083	10	0
en_026084	10	1
en_026085	10	1
en_026086	10	1
en_026087	10	2
en_026088	10	1
en_026089	10	2
en_026090	10	0
en_026091	10	0
en_026092	10	1
en_026093	10	1
en_026094	10	1
en_026095	10	2
en_026096	10	2
en_026097	10	2
en_026098	10	2
en_026099	10	1
en_026100	10	0
en_026101	10	2
en_026102	10	1
en_026103	10	1
en_026104	10	0
en_026105	10	2
en_026106	10	2
en_026107	10	0
en_026108	10	1
en_026109	10	1
en_026110	10	2
en_026111	10	1
en_026112	10	2
en_026113	10	2
en_026114	10	1
en_026115	10	1
en_026116	10	1
en_026117	10	1
en_026118	10	1
en_026119	10	1
en_026120	10	0
en_026121	10	0
en_026122	10	2
en_026123	10	0
en_026124	10	1
en_026125	10	0
en_026126	10	1
en_026127	10	0
en_026128	10	0
en_026129	10	1
en_026130	10	1
en_026131	10	0
en_026132	10	2
en_026133	10	2
en_026134	10	2
en_026135	10	1
en_026136	10	1
en_026137	10	1
en_026138	10	2
en_026139	10	2
en_026140	10	1
en_026141	10	0
en_026142	10	2
en_026143	10	2
en_026144	10	1
en_026145	10	1
en_026146	10	1
en_026147	10	1
en_026148	10	1
en_026149	10	1
en_026150	10	2
en_026151	10	0
en_026152	10	2
en_026153	10	0
en_026154	10	1
en_026155	10	1
en_026156	10	0
en_026157	10	2
en_026158	10	2
en_026159	10	1
en_026160	10	1
en_026161	10	2
en_026162	10	0
en_026163	10	2
en_026164	10	1
en_026165	10	1
en_026166	10	1
en_026167	10	0
en_026168	10	0
en_026169	10	1
en_026170	10	0
en_026171	10	2
en_026172	10	1
en_026173	10	2
en_026174	10	0
en_026175	10	0
en_026176	10	1
en_026177	10	2
en_026178	10	2
en_026179	10	2
en_026180	10	2
en_026181	10	0
en_026182	10	2
en_026183	10	1
en_026184	10	0
en_026185	10	1
en_026186	10	1
en_026187	10	2
en_026188	10	2
en_026189	10	1
en_026190	10	2
en_026191	10	2
en_026192	10	0
en_026193	10	2
en_026194	10	1
en_026195	10	2
en_026196	10	2
en_026197	10	1
en_026198	10	1
en_026199	10	2
en_026200	10	1
en_026201	10	0
en_026202	10	1
en_026203	10	2
en_026204	10	1
en_026205	10	2
en_026206	10	0
en_026207	10	1
en_026208	10	1
en_026209	10	2
en_026210	10	2
en_026211	10	0
en_026212	10	2
en_026213	10	1
en_026214	10	1
en_026215	10	1
en_026216	10	1
en_026217	10	1
en_026218	10	2
en_026219	10	2
en_026220	10	1
en_026221	10	1
en_026222	10	1
en_026223	10	0
en_026224	10	2
en_026225	10	1
en_026226	10	2
en_026227	10	2
en_026228	10	1
en_026229	10	1
en_026230	10	2
en_026231	10	1
en_026232	10	1
en_026233	10	1
en_026234	10	2
en_026235	10	1
en_026236	10	1
en_026237	10	1
en_026238	10	2
en_026239	10	1
en_026240	10	2
en_026241	10	2
en_026242	10	2
en_026243	10	1
en_026244	10	2
en_026245	10	1
en_026246	10	2
en_026247	10	0
en_026248	10	2
en_026249	10	0
en_026250	10	2
en_026251	10	1
en_026252	10	2
en_026253	10	2
en_026254	10	2
en_026255	10	0
en_026256	10	1
en_026257	10	0
