,Unnamed: 0,id,text,prompt,score
13,13,en_cw_000014,Falta la cantidad de vinagre que se añade a cada recipiente\nLa capacidad de los recipientes\nLa temperatura\nlos materiales,1,2
46,46,en_cw_000054,"Necesitaría saber la cantidad exacta de los agentes reactivos: vinagre y agua destilada, si las muestras deben permanecer en un ambiente húmedo o seco y el tipo específico de recipiente a utilizar.",1,2
50,50,en_cw_000060,"Necesito cuatro recipientes con tapa y muestras de mármol, piedra caliza, madera y plástico que puedan caber en ellos. Necesito un volumen suficiente de vinagre para llenar todos los recipientes, de modo que todas las muestras puedan ahogarse en él. Y necesito una balanza para medir la masa.",1,0
51,51,en_cw_000061,La muestra de calixa tuvo la mayor diferencia de masa.\N-La muestra de mármol tuvo la segunda mayor diferencia.\N-La muestra de plástico tuvo una diferencia mínima.\N-La muestra de madera no tuvo ninguna pérdida de masa.,1,0
54,54,en_cw_000064,Se determinó la masa que presenta cada uno de los ingredientes que fueron aprobados al ponerlos en contacto con el vinagre,1,0
70,70,en_cw_000081,1. Cantidad de vinagre\n 2. Concentración de vinagre\n3. Tamaño del recipiente,1,2
76,76,en_cw_000087,"Necesitaría, los ingredientes",1,0
106,106,en_cw_000121,"¿Qué cantidad de vinagre tendría que verter en cada recipiente? Y, ¿son importantes las condiciones como temperatura, humedad, presión, etc.?",1,1
130,130,en_cw_000150,¿Qué tamaño deben tener los contenedores en relación con el tamaño de las muestras? ¿Cuál es el rango de tamaño permitido para las muestras?,1,1
132,132,en_cw_000152,Se necesita el volumen de vinagre utilizado para cada muestra y el peso específico de la misma,1,1
137,137,en_cw_000157,No entiendo por qué la pérdida de este material de piedra caliza de la masa. ¿Cuál es la diferencia y por qué la madera no pierde masa?,1,0
157,157,en_cw_000178,¿Qué cantidad de vinagre hay que verter? ¿Cuánto tiempo hay que enjuagar las muestras? ¿Qué muestras diferentes deben recogerse inicialmente?,1,2
167,167,en_cw_000188,La media entre los datos de entrada y salida. Creo que los estimadores de la media y la varianza deberían colocarse en las dos columnas siguientes. como datos adicionales.,1,0
189,189,en_cw_000211,kkkk,1,0
218,218,en_cw_000242,1,1,0
235,235,en_cw_000263,¿Qué cantidad de vinagre se ha utilizado? ¿Cómo se ha medido la masa? ¿Por qué se utilizó agua destilada en lugar de agua del grifo?,1,1
247,247,en_cw_000275,"El volumen de las muestras, los tipos específicos de materiales (madera: roble, palisandro, etc.), el tamaño del contenedor",1,3
253,253,en_cw_000281,"Para poder replicar el experimento necesitarías información adicional como la cantidad de vinagre en mililitros que se vertió en cada recipiente. Además, necesitaría saber el tamaño de los recipientes y cuánto y durante cuánto tiempo se enjuagaron las muestras con agua destilada.",1,3
255,255,en_cw_000283,toda la información está aquí,1,0
