id	prompt	score
zh_010001	1	1
zh_010002	1	3
zh_010003	1	0
zh_010004	1	3
zh_010005	1	1
zh_010006	1	2
zh_010007	1	3
zh_010008	1	3
zh_010009	1	0
zh_010010	1	2
zh_010011	1	1
zh_010012	1	2
zh_010013	1	1
zh_010014	1	0
zh_010015	1	1
zh_010016	1	2
zh_010017	1	1
zh_010018	1	3
zh_010019	1	3
zh_010020	1	1
zh_010021	1	1
zh_010022	1	0
zh_010023	1	2
zh_010024	1	0
zh_010025	1	2
zh_010026	1	2
zh_010027	1	0
zh_010028	1	2
zh_010029	1	1
zh_010030	1	3
zh_010031	1	3
zh_010032	1	1
zh_010033	1	2
zh_010034	1	1
zh_010035	1	1
zh_010036	1	2
zh_010037	1	2
zh_010038	1	2
zh_010039	1	1
zh_010040	1	1
zh_010041	1	1
zh_010042	1	3
zh_010043	1	2
zh_010044	1	2
zh_010045	1	1
zh_010046	1	2
zh_010047	1	2
zh_010048	1	3
zh_010049	1	1
zh_010050	1	3
zh_010051	1	2
zh_010052	1	2
zh_010053	1	2
zh_010054	1	0
zh_010055	1	1
zh_010056	1	0
zh_010057	1	2
zh_010058	1	0
zh_010059	1	1
zh_010060	1	1
zh_010061	1	0
zh_010062	1	2
zh_010063	1	2
zh_010064	1	0
zh_010065	1	3
zh_010066	1	2
zh_010067	1	3
zh_010068	1	3
zh_010069	1	0
zh_010070	1	1
zh_010071	1	2
zh_010072	1	3
zh_010073	1	2
zh_010074	1	1
zh_010075	1	2
zh_010076	1	3
zh_010077	1	2
zh_010078	1	2
zh_010079	1	2
zh_010080	1	1
zh_010081	1	0
zh_010082	1	2
zh_010083	1	2
zh_010084	1	1
zh_010085	1	2
zh_010086	1	2
zh_010087	1	0
zh_010088	1	3
zh_010089	1	3
zh_010090	1	3
zh_010091	1	2
zh_010092	1	2
zh_010093	1	0
zh_010094	1	0
zh_010095	1	1
zh_010096	1	3
zh_010097	1	1
zh_010098	1	1
zh_010099	1	2
zh_010100	1	2
zh_010101	1	0
zh_010102	1	3
zh_010103	1	1
zh_010104	1	0
zh_010105	1	2
zh_010106	1	1
zh_010107	1	1
zh_010108	1	1
zh_010109	1	3
zh_010110	1	0
zh_010111	1	1
zh_010112	1	3
zh_010113	1	2
zh_010114	1	3
zh_010115	1	3
zh_010116	1	2
zh_010117	1	3
zh_010118	1	2
zh_010119	1	0
zh_010120	1	1
zh_010121	1	2
zh_010122	1	2
zh_010123	1	0
zh_010124	1	1
zh_010125	1	2
zh_010126	1	0
zh_010127	1	0
zh_010128	1	1
zh_010129	1	1
zh_010130	1	0
zh_010131	1	2
zh_010132	1	2
zh_010133	1	0
zh_010134	1	1
zh_010135	1	3
zh_010136	1	3
zh_010137	1	0
zh_010138	1	2
zh_010139	1	2
zh_010140	1	1
zh_010141	1	2
zh_010142	1	1
zh_010143	1	2
zh_010144	1	0
zh_010145	1	1
zh_010146	1	2
zh_010147	1	1
zh_010148	1	1
zh_010149	1	1
zh_010150	1	2
zh_010151	1	1
zh_010152	1	0
zh_010153	1	2
zh_010154	1	2
zh_010155	1	3
zh_010156	1	2
zh_010157	1	0
zh_010158	1	0
zh_010159	1	0
zh_010160	1	3
zh_010161	1	0
zh_010162	1	1
zh_010163	1	2
zh_010164	1	0
zh_010165	1	2
zh_010166	1	2
zh_010167	1	3
zh_010168	1	2
zh_010169	1	2
zh_010170	1	0
zh_010171	1	2
zh_010172	1	2
zh_010173	1	3
zh_010174	1	1
zh_010175	1	2
zh_010176	1	1
zh_010177	1	2
zh_010178	1	1
zh_010179	1	3
zh_010180	1	2
zh_010181	1	3
zh_010182	1	2
zh_010183	1	0
zh_010184	1	2
zh_010185	1	1
zh_010186	1	1
zh_010187	1	0
zh_010188	1	0
zh_010189	1	1
zh_010190	1	3
zh_010191	1	2
zh_010192	1	1
zh_010193	1	2
zh_010194	1	2
zh_010195	1	1
zh_010196	1	2
zh_010197	1	1
zh_010198	1	1
zh_010199	1	2
zh_010200	1	1
zh_010201	1	0
zh_010202	1	2
zh_010203	1	1
zh_010204	1	0
zh_010205	1	2
zh_010206	1	2
zh_010207	1	2
zh_010208	1	1
zh_010209	1	3
zh_010210	1	0
zh_010211	1	2
zh_010212	1	2
zh_010213	1	1
zh_010214	1	1
zh_010215	1	1
zh_010216	1	2
zh_010217	1	1
zh_010218	1	2
zh_010219	1	2
zh_010220	1	2
zh_010221	1	2
zh_010222	1	0
zh_010223	1	1
zh_010224	1	2
zh_010225	1	2
zh_010226	1	2
zh_010227	1	0
zh_010228	1	1
zh_010229	1	1
zh_010230	1	2
zh_010231	1	2
zh_010232	1	2
zh_010233	1	2
zh_010234	1	1
zh_010235	1	1
zh_010236	1	3
zh_010237	1	2
zh_010238	1	3
zh_010239	1	0
zh_010240	1	1
zh_010241	1	1
zh_010242	1	2
zh_010243	1	0
zh_010244	1	3
zh_010245	1	1
zh_010246	1	0
zh_010247	1	0
zh_010248	1	0
zh_010249	1	0
zh_010250	1	0
zh_010251	1	0
zh_010252	1	0
zh_010253	1	2
zh_010254	1	2
zh_010255	1	1
zh_010256	1	1
zh_010257	1	2
zh_010258	1	3
zh_010259	1	0
zh_010260	1	1
zh_010261	1	0
zh_010262	1	1
zh_010263	1	3
zh_010264	1	2
zh_010265	1	0
zh_010266	1	3
zh_010267	1	0
zh_010268	1	2
zh_010269	1	2
zh_010270	1	1
zh_010271	1	3
zh_010272	1	1
zh_010273	1	2
zh_010274	1	1
zh_010275	1	0
zh_010276	1	3
zh_010277	1	1
zh_010278	1	3
zh_010279	1	0
zh_010280	1	1
zh_010281	1	3
zh_010282	1	3
zh_010283	1	2
zh_010284	1	0
zh_010285	1	2
zh_010286	1	0
zh_010287	1	3
zh_010288	1	3
zh_010289	1	2
zh_010290	1	1
zh_010291	1	2
zh_010292	1	0
zh_010293	1	0
zh_010294	1	3
zh_010295	1	2
zh_010296	1	3
zh_010297	1	3
zh_010298	1	3
zh_010299	1	2
zh_010300	1	3
zh_010301	1	1
zh_010302	1	1
zh_010303	1	1
zh_010304	1	1
zh_010305	1	1
zh_010306	1	0
zh_010307	1	1
zh_010308	1	2
zh_010309	1	0
zh_010310	1	0
zh_010311	1	1
zh_010312	1	3
zh_010313	1	2
zh_010314	1	3
