,Unnamed: 0,id,text,prompt,score
34,34,zh_020035,a El plástico D es más elástico y se deforma menos b Es más fácil observar métodos de deformación del plástico como el plegado variable Observar su recuperación,2,0
56,56,zh_020057,(_1) Los diferentes plásticos tienen diferentes elasticidades y la elasticidad no es constante,2,1
61,61,zh_020062,Conclusión: el ABC tres es más elástico mientras que el D no se deforma (_1) mayor tiempo (2) mayor masa de pesos,2,0
82,82,zh_020083,"(_1) AB tiene una elasticidad similar; y D es inelástica (2) múltiples experimentos para resumir los resultados de cada experimento para su comparación (3) atención a la selección de materiales, más materiales de comparación",2,1
89,89,zh_020090,a. B tiene la mayor elongación b(_1) Cuelga la muestra de plástico en un gancho con un agujero. (2) Uniformar las longitudes de las diferentes muestras de plástico,2,2
98,98,zh_020099,a. el plástico se puede estirar b. el grado de flexión se puede observar doblando el plástico,2,0
113,113,zh_020114,Conclusión: los diferentes materiales se estiran a diferentes longitudes y son todos maleables Método: (_1) hacer que el tiempo de colgado sea mayor (2) hacer que los diferentes materiales tengan el mismo tamaño y forma,2,2
124,124,zh_020125,Coeficiente de rigidez KA > KB = KC > KD Aumento del peso de las pesas,2,0
147,147,zh_020148,Diferentes plásticos Diferentes cantidades de estiramiento,2,1
175,175,zh_020176,a Cantidad de plástico estirado b Tipo de plástico,2,0
188,188,zh_020189,(_1) Diferente elasticidad (2) Cambiar los pesos y continuar la prueba,2,0
214,214,zh_020215,a La cantidad de resistencia a la tracción tiende a ser constante para cada plástico con diferencias en el mismo material,2,0
221,221,zh_020222,Conclusión: D es un método más elástico. Prolongación del tiempo de prueba,2,1
223,223,zh_020224,"(_1) A.B tiene una gran elevación elástica, C se retrae cada vez más. (2) Cambios bajo condiciones cambiantes de fuerzas externas como la temperatura",2,0
246,246,zh_020247,a: los polímeros son más difíciles de estirar b: aumenta el peso de las pesas,2,0
253,253,zh_020254,a. Diferentes polímeros difieren en elasticidad b. (_1) Controlar el tamaño del plástico con la misma masa,2,3
258,258,zh_020259,"a. El tipo A C es menos elástico, el BD es más elástico b. Las masas de ABCD antes de la prueba, y las longitudes son iguales, añada pesos según corresponda.",2,2
298,298,zh_020299,a Conclusión: el alargamiento del material se ve afectado en su totalidad por el estiramiento anterior b (_1) Experimento de control de diseño Útil para la comparación (2) Ambos conjuntos de experimentos se realizaron al mismo tiempo Debe haber un error en el tiempo,2,0
313,313,zh_020314,"a. Diferentes plásticos tienen diferente elasticidad del polímero y diferentes cantidades de estiramiento. b. Plásticos de control del mismo espesor, ancho y",2,2
